atlas_index,tile_id,section,section_group,split,split_index,generator_id,architecture,generator_exposure,sample_id,relative_path,sha256,width,height,format,byte_size,candidate_images_for_generator,generator_selection_rule,selection_rule
11,TR011,Training set,Train exact generators,train,11,bricejoshy/bmw-m8,LatDiff,train_seen,cf_train_aigi_64a0565c6332fdd2,train/aigi/cf_train_aigi_64a0565c6332fdd2_00000117.png.png,106ae32aadbabb44cfd437924ff733222f84e3de03e89e7851e07f6b0f9527f0,512,512,PNG,358690,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
12,TR012,Training set,Train exact generators,train,12,chaossy/id2047,LatDiff,train_seen,cf_train_aigi_f3ba78f2db3c355c,train/aigi/cf_train_aigi_f3ba78f2db3c355c_00000277.png.png,1186ab42eb70d98ff88942f78b0bd321e2cd2d546129eaf0a1e2c7a4c0ac66b6,512,512,PNG,489285,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
13,TR013,Training set,Train exact generators,train,13,chromefan/gmater-poster-style-v1.0,LatDiff,train_seen,cf_train_aigi_285d4c36bad1415d,train/aigi/cf_train_aigi_285d4c36bad1415d_00000171.png.png,09d5f360d0acccd5dfd71d3ffcffdc86061eb25bda88cd5fdf747b6c04a3c673,512,512,PNG,500069,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
14,TR014,Training set,Train exact generators,train,14,cips,GAN,train_seen,cf_train_aigi_930dfba8c22cd890,train/aigi/cf_train_aigi_930dfba8c22cd890_005945.png.png,40cdb9c633b3e7e028aa949e9447b298d9819926cf1aec90c89eeba4ef88079c,256,256,PNG,64596,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
15,TR015,Training set,Train exact generators,train,15,circulus/sd-photoreal-v2.7,LatDiff,train_seen,cf_train_aigi_dd7b9bc786b57544,train/aigi/cf_train_aigi_dd7b9bc786b57544_00000154.png.png,08299042ee139b8f4200da8362b0a11fd37a81ad52c827c6561374f84729220e,512,512,PNG,464288,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
16,TR016,Training set,Train exact generators,train,16,coder443/dog,LatDiff,train_seen,cf_train_aigi_8cbe6888364a2cab,train/aigi/cf_train_aigi_8cbe6888364a2cab_00000496.png.png,191c8ab3ba1231c10b2b50d8afc75bef5567d2f5ca14a4166dbc8ab48a90f979,512,512,PNG,283653,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
17,TR017,Training set,Train exact generators,train,17,cuixing/textual-inversion-style0808,LatDiff,train_seen,cf_train_aigi_faa5344b6f1957e7,train/aigi/cf_train_aigi_faa5344b6f1957e7_00000351.png.png,1ae1eacecd3140756f99102fbfdf5f0b7257fb2ab1e9ff4f8f829d0ac6f9c7b8,512,512,PNG,433268,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
18,TR018,Training set,Train exact generators,train,18,darksamurai001/my-pet-dog,LatDiff,train_seen,cf_train_aigi_56ceb159e9019a68,train/aigi/cf_train_aigi_56ceb159e9019a68_00000307.png.png,00da8f215e6ea50ab9bcbaa83fd45356612ec39242544c81b1e6360ebf0198f4,512,512,PNG,300536,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
19,TR019,Training set,Train exact generators,train,19,decept1on/zephyrs-waifu-diffusion,LatDiff,train_seen,cf_train_aigi_d7c6cdc85b461ea8,train/aigi/cf_train_aigi_d7c6cdc85b461ea8_00000209.png.png,18cd41d289311a2561b1c04d0e317a041b70e9b821270724b40fb7335a66fda6,512,512,PNG,437977,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
20,TR020,Training set,Train exact generators,train,20,digiplay/alstroemeriamix-v1,LatDiff,train_seen,cf_train_aigi_56628cfdb8623552,train/aigi/cf_train_aigi_56628cfdb8623552_00000387.png.png,20f1e9fa35483e6b6567ef379880e0b1356b8d7f2767e90bef2a365ba2ab0411,512,512,PNG,331631,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
21,TR021,Training set,Train exact generators,train,21,digiplay/fantasticmix-v65-test,LatDiff,train_seen,cf_train_aigi_b870897afbb421bb,train/aigi/cf_train_aigi_b870897afbb421bb_00000092.png.png,1b6d303a877a1ac80086240b2bcc501f47ea9accd4ab9b9d88d4e4c5ef5da2e1,512,512,PNG,342805,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
22,TR022,Training set,Train exact generators,train,22,digiplay/lunardiffusion-v1.27,LatDiff,train_seen,cf_train_aigi_733a5862e5d24c43,train/aigi/cf_train_aigi_733a5862e5d24c43_00000140.png.png,0e2d990aceb805d895610a0ada28c5d8fa094180862ee0e2f1c67836db3c87fd,512,512,PNG,358120,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
23,TR023,Training set,Train exact generators,train,23,digiplay/rundiffusionfx2.5d-v1-diffusers,LatDiff,train_seen,cf_train_aigi_d831a881932c5851,train/aigi/cf_train_aigi_d831a881932c5851_00000397.png.png,1784a5e618c2750f84e2803f8099ca9de0655ef341e3a8b3397e09b288e9da26,512,512,PNG,350901,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
24,TR024,Training set,Train exact generators,train,24,duchaiten/dh-classicanime,LatDiff,train_seen,cf_train_aigi_765a79539af627cc,train/aigi/cf_train_aigi_765a79539af627cc_00000274.png.png,0e6b761e2b8e66921a9abb1375e48f34eae5b3b3c9e0e5e171da14fef86a8cf9,512,512,PNG,398955,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
25,TR025,Training set,Train exact generators,train,25,dxli/backpack,LatDiff,train_seen,cf_train_aigi_4fce33667bfad41c,train/aigi/cf_train_aigi_4fce33667bfad41c_00000090.png.png,09d4d6bda852e7681347153f021eac95cae9a6c6d34ed8d1611e094a74cbe6ff,512,512,PNG,457029,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
26,TR026,Training set,Train exact generators,train,26,earthndusk/identitydisorder-mix,LatDiff,train_seen,cf_train_aigi_190faf6d9b579f09,train/aigi/cf_train_aigi_190faf6d9b579f09_00000272.png.png,0470792d051a9bb6acbda7fb74d84a903351b02da74b0d2a8098714348023aed,512,512,PNG,453910,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
27,TR027,Training set,Train exact generators,train,27,eienmojiki/cuteyukimix-kemiaomiao,LatDiff,train_seen,cf_train_aigi_085fed27671afbf8,train/aigi/cf_train_aigi_085fed27671afbf8_00000070.png.png,26a4bc5d8e01d4cb5862c2ad003f9b64eb8b28c75796f834ff2ec27c4c974108,512,512,PNG,342648,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
28,TR028,Training set,Train exact generators,train,28,elaina617/rubyhoshino,LatDiff,train_seen,cf_train_aigi_4977d31aa60779d6,train/aigi/cf_train_aigi_4977d31aa60779d6_00000298.png.png,179b74554ae806e992596989dc5d25078136ada9a710a416a37a7a4c023e595c,512,512,PNG,492279,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
29,TR029,Training set,Train exact generators,train,29,freemindcore/eanovnty-esmlvnty-0412-s8000-full,LatDiff,train_seen,cf_train_aigi_f6e2dd7803a67cd4,train/aigi/cf_train_aigi_f6e2dd7803a67cd4_00000395.png.png,2bb7aff3f83d5bf7dda13afee1c7381796c39dc4912fb8b4547daff3440b1020,512,512,PNG,303159,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
30,TR030,Training set,Train exact generators,train,30,gapa9999/gapacharone,LatDiff,train_seen,cf_train_aigi_09f41a12f0e28339,train/aigi/cf_train_aigi_09f41a12f0e28339_00000202.png.png,0f7e716af27745086789eb854e020500f786c3b3d271e2140d34fc0f99532eb3,512,512,PNG,397081,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
31,TR031,Training set,Train exact generators,train,31,greeshma720/converting-instructions-to-painting,LatDiff,train_seen,cf_train_aigi_e7c4a65cb068d398,train/aigi/cf_train_aigi_e7c4a65cb068d398_00000139.png.png,08686d704e0590e74bdda055ecbd7d6d6b4e9cb172c1d82317ef42c5b1bd593f,512,512,PNG,297130,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
32,TR032,Training set,Train exact generators,train,32,guideddiffusion,PixDiff,train_seen,cf_train_aigi_d784b8e012d755bf,train/aigi/cf_train_aigi_d784b8e012d755bf_007423.png.png,02b955ec36bc49203705cad83779d292cb25fb03fbddcf9a38e61f5053ad8e04,512,512,PNG,320339,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
33,TR033,Training set,Train exact generators,train,33,guizmus/darksoulsdiffusion,LatDiff,train_seen,cf_train_aigi_6ab9c24e1d37c9c4,train/aigi/cf_train_aigi_6ab9c24e1d37c9c4_00000137.png.png,13e234fe0e95a067a502eeb68e96c599d18815ac661cc7c28be95869877f97e9,512,512,PNG,312291,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
34,TR034,Training set,Train exact generators,train,34,jkcarney/romcom-diffusion-1.0,LatDiff,train_seen,cf_train_aigi_a6edbebd2b3021b3,train/aigi/cf_train_aigi_a6edbebd2b3021b3_00000156.png.png,05b20ae0421497be5ea07be8d1a1d9a934c384e8a251f6291669418ec3273e27,512,512,PNG,377338,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
35,TR035,Training set,Train exact generators,train,35,joeythemonster/anything-midjourney-v-4-1,LatDiff,train_seen,cf_train_aigi_68a4e5b82cb91a6a,train/aigi/cf_train_aigi_68a4e5b82cb91a6a_00000324.png.png,87d9556e78f53c48ea8c084373d97ee1f4c3d19478d91e2ca70ba930c6d4a188,512,512,PNG,566830,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
36,TR036,Training set,Train exact generators,train,36,lostmedia/retrodiffusion,LatDiff,train_seen,cf_train_aigi_47a93cd09108464d,train/aigi/cf_train_aigi_47a93cd09108464d_00000167.png.png,0b882c1ddd5cf683eb6ed8dbf1c5d09eda5b71758109284365f5efca9d9b866a,512,512,PNG,468518,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
37,TR037,Training set,Train exact generators,train,37,lottepeisch/revanimated-diffusers,LatDiff,train_seen,cf_train_aigi_c7bae1f2209f1e6d,train/aigi/cf_train_aigi_c7bae1f2209f1e6d_00000232.png.png,08d1ceda1d0409d8f0397d7d857fdc566a4b87ebe154d2a8a9eb0ecea0f06315,512,512,PNG,227338,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
38,TR038,Training set,Train exact generators,train,38,malavikacomrade/my-pet-dog,LatDiff,train_seen,cf_train_aigi_5c7e531ec5ed9a3d,train/aigi/cf_train_aigi_5c7e531ec5ed9a3d_00000134.png.png,04e289991d0f0e07bf65518740d8aa05de120eab07e9b1b3cf8827f55c21bf7b,512,512,PNG,472010,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
39,TR039,Training set,Train exact generators,train,39,mitsua/mitsua-diffusion-cc0,LatDiff,train_seen,cf_train_aigi_5b9eb4ea315ddbcc,train/aigi/cf_train_aigi_5b9eb4ea315ddbcc_00000380.png.png,292a1c0f15ff6eac9b6b5daf93b41ea593eca6e8083e66dffe5a605614344cb2,512,512,PNG,381093,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
40,TR040,Training set,Train exact generators,train,40,moonlightnexus/wonder-anime,LatDiff,train_seen,cf_train_aigi_05530690bf07e3aa,train/aigi/cf_train_aigi_05530690bf07e3aa_00000374.png.png,3a05dbe521828ad7241bec2f28f36cf5a8eb73604aefbe6d8da6cfd378ab9499,512,512,PNG,353653,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
41,TR041,Training set,Train exact generators,train,41,muhammadreza/mann-e-pixel-art-revised-2,LatDiff,train_seen,cf_train_aigi_3f749a93b0e2b471,train/aigi/cf_train_aigi_3f749a93b0e2b471_00000303.png.png,1d4d2f520483105217375fd3ccf5e4b242689de2b3b82006eb53aa60fb31b4ab,512,512,PNG,237809,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
42,TR042,Training set,Train exact generators,train,42,nileshpp/aishwarya-inpaint-1,LatDiff,train_seen,cf_train_aigi_b8e197df8f3f0d9c,train/aigi/cf_train_aigi_b8e197df8f3f0d9c_00000288.png.png,02c6cf8bb6501d35954b4b6165ae804e03eaca1176565a52ff73778ff9ded46f,512,512,PNG,447889,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
43,TR043,Training set,Train exact generators,train,43,oksanapliushko/prymachenko-beasts,LatDiff,train_seen,cf_train_aigi_12a2fcd5b799e2e4,train/aigi/cf_train_aigi_12a2fcd5b799e2e4_00000285.png.png,02528358f98bfed7a55a70cc2696f89220fe6810f0ba1e4b0fefddf9ad4bfd35,512,512,PNG,472966,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
44,TR044,Training set,Train exact generators,train,44,prismglider/jsprdgv3,LatDiff,train_seen,cf_train_aigi_62605f7ff30856fa,train/aigi/cf_train_aigi_62605f7ff30856fa_00000075.png.png,0c2b0db744b9e3c36cca1b1c1f7d94c16dbb855693dec606965579ace8225bb4,512,512,PNG,452887,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
45,TR045,Training set,Train exact generators,train,45,rd690/rdm-animals,LatDiff,train_seen,cf_train_aigi_27c06e686036b067,train/aigi/cf_train_aigi_27c06e686036b067_00000081.png.png,08c6f7f83d627cb936cb2714f8d3de4a451fa909dfe613eb2572f607f3f36b5b,512,512,PNG,352316,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
46,TR046,Training set,Train exact generators,train,46,roodzzz/my-pet-dog-xzg,LatDiff,train_seen,cf_train_aigi_fb53acf9a3fca0b3,train/aigi/cf_train_aigi_fb53acf9a3fca0b3_00000154.png.png,24e07f4750e63cdfbb41a0f519ec42095e6af30a905139c732f1d73ba7cff22e,512,512,PNG,394080,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
47,TR047,Training set,Train exact generators,train,47,sam749/the-truality-engine-truality-engine-pro,LatDiff,train_seen,cf_train_aigi_5dec69ba6b073800,train/aigi/cf_train_aigi_5dec69ba6b073800_00000070.png.png,109f49c2e7011157199f1c0d11578dca2cc7b2e566d0ce05dc13ce14f6b439b5,512,512,PNG,507126,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
48,TR048,Training set,Train exact generators,train,48,sans404/somethingidk,LatDiff,train_seen,cf_train_aigi_5c41b4dc40e6c77a,train/aigi/cf_train_aigi_5c41b4dc40e6c77a_00000152.png.png,103d798cd27fbb77d9951751f230a8cac33aa8527c0b9f963060d16717116493,512,512,PNG,373234,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
49,TR049,Training set,Train exact generators,train,49,sathvikrapelli/my-pet-dog,LatDiff,train_seen,cf_train_aigi_d9dd8b0130dfa37b,train/aigi/cf_train_aigi_d9dd8b0130dfa37b_00000136.png.png,0076cc1dab6fb63cd33b2fca47b93b6078dab8fefd802f56b1a3cc9669ac0a4d,512,512,PNG,361484,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
50,TR050,Training set,Train exact generators,train,50,sd-dreambooth-library/jatmikoui,LatDiff,train_seen,cf_train_aigi_1d578c429eb57a7b,train/aigi/cf_train_aigi_1d578c429eb57a7b_00000161.png.png,0943b1c27deee0a606cdf1e4203a6c7c6c49b1378e3eee331b01b407807c2e6e,512,512,PNG,441498,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
51,TR051,Training set,Train exact generators,train,51,shanayasia/my-pet-dog,LatDiff,train_seen,cf_train_aigi_6b26a60d1a153a00,train/aigi/cf_train_aigi_6b26a60d1a153a00_00000196.png.png,042cede6d1ac0f823f11274f6866ac85a00b2c2c0034ec774107f70cc1816db1,512,512,PNG,387411,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
52,TR052,Training set,Train exact generators,train,52,stablediffusionapi/anime-pastel-dream,LatDiff,train_seen,cf_train_aigi_ab64ddcac1c63b91,train/aigi/cf_train_aigi_ab64ddcac1c63b91_00000143.png.png,05d452943be19508ee720bd95aa4433519c98f218ce77135a9fd962e8ae23675,512,512,PNG,489897,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
53,TR053,Training set,Train exact generators,train,53,stablediffusionapi/dynavision,LatDiff,train_seen,cf_train_aigi_78fcaa269365ad56,train/aigi/cf_train_aigi_78fcaa269365ad56_00000020.png.png,0d31454c6f8198a9e0657b4bc96afb020f191ff760cecdcba6498b26d4b17f51,512,512,PNG,321656,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
54,TR054,Training set,Train exact generators,train,54,stablediffusionapi/epicbabes-realistic,LatDiff,train_seen,cf_train_aigi_55f4ee30c30e0897,train/aigi/cf_train_aigi_55f4ee30c30e0897_00000188.png.png,13bdc746b163ca48a729a40e99d52824531128ddadbd7b00ccc39e121b03b35b,512,512,PNG,440767,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
55,TR055,Training set,Train exact generators,train,55,stablediffusionapi/juggernautxl-v9-rundiffus,LatDiff,train_seen,cf_train_aigi_a25e0e0b9c27acb7,train/aigi/cf_train_aigi_a25e0e0b9c27acb7_00000382.png.png,208c7adc54298667580c19cf1c3f3ce8c65e339ab5ab7f385f111d633ab860be,512,512,PNG,324750,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
56,TR056,Training set,Train exact generators,train,56,stablediffusionapi/realistic-stock-photo,LatDiff,train_seen,cf_train_aigi_7e690f0a0c256f1b,train/aigi/cf_train_aigi_7e690f0a0c256f1b_00000209.png.png,1bfae3d53987e8f2c2d5b842e882bdd230a124c3151f06e9444a0e4fa5e947c1,512,512,PNG,347486,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
57,TR057,Training set,Train exact generators,train,57,stablediffusionapi/realistic-vision-51,LatDiff,train_seen,cf_train_aigi_b8170fe915aa27fe,train/aigi/cf_train_aigi_b8170fe915aa27fe_00000200.png.png,12902fc40b06e13123e8d73b88d10b0d59b14be2d749696021341b46a237b81b,512,512,PNG,444676,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
