model,model_order,condition_index,condition_group,condition,transform,v2_accuracy,v3_accuracy,delta_accuracy,v2_precision,v3_precision,delta_precision,v2_recall,v3_recall,delta_recall,v2_specificity,v3_specificity,delta_specificity,v2_f1,v3_f1,delta_f1,v2_balanced_accuracy,v3_balanced_accuracy,delta_balanced_accuracy,v2_mcc,v3_mcc,delta_mcc,v2_auroc,v3_auroc,delta_auroc,v2_average_precision,v3_average_precision,delta_average_precision,v2_brier,v3_brier,delta_brier,v2_ece_15,v3_ece_15,delta_ece_15,v2_tpr_at_fpr_1pct,v3_tpr_at_fpr_1pct,delta_tpr_at_fpr_1pct,v2_tpr_at_fpr_5pct,v3_tpr_at_fpr_5pct,delta_tpr_at_fpr_5pct
B2,2,11,single_stage,Gaussian noise sigma=0.05,gaussian_noise__sigma=0.05,0.5,0.5015,0.0015,0.0,1.0,1.0,0.0,0.003,0.003,1.0,1.0,0.0,0.0,0.00598205,0.00598205,0.5,0.5015,0.0015,0.0,0.03875891,0.03875891,0.789487,0.794681,0.005194,0.78493014,0.79453053,0.00960039,0.35750169,0.36744565,0.00994396,0.37581067,0.38768262,0.01187195,0.141,0.159,0.018,0.303,0.294,-0.009
B2,2,12,single_stage,Gaussian noise sigma=0.10,gaussian_noise__sigma=0.1,0.5,0.5015,0.0015,0.0,1.0,1.0,0.0,0.003,0.003,1.0,1.0,0.0,0.0,0.00598205,0.00598205,0.5,0.5015,0.0015,0.0,0.03875891,0.03875891,0.7768245,0.7851355,0.008311,0.77915643,0.79018731,0.01103088,0.37856901,0.38697738,0.00840837,0.39397607,0.40431189,0.01033582,0.159,0.166,0.007,0.302,0.353,0.051
B2,2,13,single_stage,Color jitter 0.8/0.8/0.8,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,0.686,0.7015,0.0155,0.79153605,0.79940565,0.0078696,0.505,0.538,0.033,0.867,0.865,-0.002,0.61660562,0.64315601,0.02655039,0.686,0.7015,0.0155,0.39906537,0.42644404,0.02737867,0.770788,0.784771,0.013983,0.77251749,0.79123168,0.01871419,0.46220125,0.46221306,1.181e-05,0.47238745,0.47276306,0.00037561,0.106,0.141,0.035,0.332,0.335,0.003
B2,2,14,single_stage,Color jitter 1.2/1.2/1.2,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,0.592,0.612,0.02,0.859375,0.87086093,0.01148593,0.22,0.263,0.043,0.964,0.961,-0.003,0.35031847,0.40399386,0.05367539,0.592,0.612,0.02,0.27537506,0.31280645,0.03743139,0.763651,0.7677415,0.0040905,0.76134741,0.77124746,0.00990005,0.4258542,0.42560179,-0.00025241,0.44272241,0.44297168,0.00024927,0.102,0.118,0.016,0.277,0.316,0.039
B2,2,15,single_stage,Center crop ratio=0.8,center_crop__ratio=0.8,0.5,0.501,0.001,0.0,1.0,1.0,0.0,0.002,0.002,1.0,1.0,0.0,0.0,0.00399202,0.00399202,0.5,0.501,0.001,0.0,0.0316386,0.0316386,0.7537215,0.762782,0.0090605,0.74945353,0.76455093,0.0150974,0.39233617,0.38480419,-0.00753198,0.40507849,0.39847168,-0.00660681,0.097,0.114,0.017,0.255,0.281,0.026
B2,2,16,two_stage,2-stage resize 0.5 + JPEG Q70,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,0.585,0.5925,0.0075,0.84836066,0.80730897,-0.04105169,0.207,0.243,0.036,0.963,0.942,-0.021,0.33279743,0.3735588,0.04076137,0.585,0.5925,0.0075,0.25971184,0.25869724,-0.0010146,0.733027,0.7312075,-0.0018195,0.72179349,0.7260241,0.00423061,0.44579959,0.44623631,0.00043672,0.45733154,0.45766333,0.00033179,0.054,0.07,0.016,0.233,0.226,-0.007
B2,2,17,two_stage,2-stage crop 0.8 + JPEG Q50,center_crop__ratio=0.8__jpeg__quality=50,0.6585,0.671,0.0125,0.82281059,0.81090909,-0.0119015,0.404,0.446,0.042,0.913,0.896,-0.017,0.54191818,0.57548387,0.03356569,0.6585,0.671,0.0125,0.36827641,0.38296648,0.01469007,0.767252,0.7654945,-0.0017575,0.77165525,0.77638376,0.00472851,0.46857959,0.46967016,0.00109057,0.47601221,0.4769812,0.00096899,0.156,0.166,0.01,0.302,0.296,-0.006
B2,2,18,four_stage,4-stage A platform repost,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,0.6235,0.6405,0.017,0.85590778,0.85933504,0.00342726,0.297,0.336,0.039,0.95,0.945,-0.005,0.44097996,0.48310568,0.04212572,0.6235,0.6405,0.017,0.32613378,0.35427452,0.02814074,0.7733675,0.7717695,-0.001598,0.77981167,0.78061889,0.00080722,0.46128625,0.46041788,-0.00086837,0.47079883,0.46952649,-0.00127234,0.113,0.151,0.038,0.297,0.311,0.014
B2,2,19,four_stage,4-stage B edit repost,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,0.5415,0.5655,0.024,0.84297521,0.81642512,-0.02655009,0.102,0.169,0.067,0.981,0.962,-0.019,0.18198037,0.28003314,0.09805277,0.5415,0.5655,0.024,0.17406923,0.21502848,0.04095925,0.6802195,0.681321,0.0011015,0.68187761,0.68953907,0.00766146,0.46209466,0.4644273,0.00233264,0.46797339,0.47020679,0.0022334,0.064,0.067,0.003,0.173,0.219,0.046
B2,2,20,six_stage,6-stage random composition,strict_random_six__profile=full_training_range_v1,0.5575,0.58,0.0225,0.73279352,0.72727273,-0.00552079,0.181,0.256,0.075,0.934,0.904,-0.03,0.29029671,0.37869822,0.08840151,0.5575,0.58,0.0225,0.17476659,0.21007291,0.03530632,0.654255,0.661995,0.00774,0.64761828,0.65781429,0.01019601,0.4720953,0.47330446,0.00120916,0.47555005,0.47701343,0.00146338,0.041,0.043,0.002,0.139,0.143,0.004
M2,3,0,clean,Clean,clean,0.84,0.8555,0.0155,0.82136106,0.84019139,0.01883033,0.869,0.878,0.009,0.811,0.833,0.022,0.84450923,0.85867971,0.01417048,0.84,0.8555,0.0155,0.68114665,0.71172098,0.03057433,0.919127,0.925218,0.006091,0.89483527,0.90496615,0.01013088,0.43910147,0.3972438,-0.04185767,0.46519946,0.43760986,-0.0275896,0.0,0.0,0.0,0.312,0.432,0.12
M2,3,1,single_stage,JPEG Q90,jpeg__quality=90,0.843,0.8575,0.0145,0.82666667,0.84145177,0.0147851,0.868,0.881,0.013,0.818,0.834,0.016,0.84682927,0.86077186,0.01394259,0.843,0.8575,0.0145,0.68685911,0.71579103,0.02893192,0.9208075,0.9267985,0.005991,0.89796737,0.90704019,0.00907282,0.43877237,0.39766581,-0.04110656,0.46497717,0.43796216,-0.02701501,0.0,0.0,0.0,0.312,0.441,0.129
M2,3,2,single_stage,JPEG Q70,jpeg__quality=70,0.8355,0.845,0.0095,0.81740776,0.8125,-0.00490776,0.864,0.897,0.033,0.807,0.793,-0.014,0.84005834,0.8526616,0.01260326,0.8355,0.845,0.0095,0.6720927,0.69376207,0.02166937,0.9105775,0.9232765,0.012699,0.88296891,0.90211345,0.01914454,0.44546818,0.41702596,-0.02844222,0.46912109,0.45069202,-0.01842907,0.0,0.0,0.0,0.266,0.448,0.182
M2,3,3,single_stage,JPEG Q50,jpeg__quality=50,0.8325,0.848,0.0155,0.79874214,0.81578947,0.01704733,0.889,0.899,0.01,0.776,0.797,0.021,0.84145764,0.85537583,0.01391819,0.8325,0.848,0.0155,0.66928679,0.69964909,0.0303623,0.90729,0.9193555,0.0120655,0.87862858,0.89734552,0.01871694,0.45759897,0.42907019,-0.02852878,0.4763606,0.45854297,-0.01781763,0.0,0.0,0.0,0.288,0.447,0.159
M2,3,4,single_stage,JPEG Q30,jpeg__quality=30,0.8325,0.8445,0.012,0.80365297,0.81576535,0.01211238,0.88,0.89,0.01,0.785,0.799,0.014,0.84009547,0.85126734,0.01117187,0.8325,0.8445,0.012,0.66802128,0.69187065,0.02384937,0.9020625,0.9183125,0.01625,0.87100824,0.895319,0.02431076,0.45608507,0.42398418,-0.03210089,0.4754375,0.45523914,-0.02019836,0.0,0.0,0.0,0.268,0.414,0.146
M2,3,5,single_stage,Gaussian blur sigma=0.5,gaussian_blur__sigma=0.5,0.8495,0.864,0.0145,0.83381089,0.85135135,0.01754046,0.873,0.882,0.009,0.826,0.846,0.02,0.85295554,0.86640472,0.01344918,0.8495,0.864,0.0145,0.69977333,0.7284722,0.02869887,0.9223585,0.9305255,0.008167,0.89678928,0.90970572,0.01291644,0.43889442,0.39967708,-0.03921734,0.46526794,0.43992346,-0.02534448,0.0,0.0,0.0,0.289,0.421,0.132
M2,3,6,single_stage,Gaussian blur sigma=1.0,gaussian_blur__sigma=1.0,0.846,0.849,0.003,0.80948122,0.80347826,-0.00600296,0.905,0.924,0.019,0.787,0.774,-0.013,0.85457979,0.85953488,0.00495509,0.846,0.849,0.003,0.69686861,0.70598755,0.00911894,0.9233665,0.9305595,0.007193,0.89674217,0.91081886,0.01407669,0.46717392,0.44771954,-0.01945438,0.48206299,0.47048291,-0.01158008,0.0,0.0,0.0,0.26,0.504,0.244
M2,3,7,single_stage,Gaussian blur sigma=2.0,gaussian_blur__sigma=2.0,0.813,0.8135,0.0005,0.76615646,0.77002584,0.00386938,0.901,0.894,-0.007,0.725,0.733,0.008,0.828125,0.82739472,-0.00073028,0.813,0.8135,0.0005,0.63592671,0.63528771,-0.000639,0.895572,0.898733,0.003161,0.86195783,0.87636124,0.01440341,0.47884626,0.45957653,-0.01926973,0.48840796,0.47681787,-0.01159009,0.0,0.0,0.0,0.191,0.413,0.222
M2,3,8,single_stage,Resize 0.5 bicubic,resize__interpolation=bicubic_scale=0.5,0.837,0.85,0.013,0.80470163,0.8113879,0.00668627,0.89,0.912,0.022,0.784,0.788,0.004,0.84520418,0.85875706,0.01355288,0.837,0.85,0.013,0.67781874,0.70544447,0.02762573,0.915666,0.9235195,0.0078535,0.88765724,0.90148395,0.01382671,0.46326507,0.43569085,-0.02757422,0.47976978,0.46309082,-0.01667896,0.23,0.0,-0.23,0.23,0.442,0.212
M2,3,9,single_stage,Resize 0.25 bilinear,resize__interpolation=bilinear_scale=0.25,0.815,0.821,0.006,0.78740876,0.8,0.01259124,0.863,0.856,-0.007,0.767,0.786,0.019,0.82347328,0.82705314,0.00357986,0.815,0.821,0.006,0.63292326,0.6435787,0.01065544,0.8874315,0.8965215,0.00909,0.84954738,0.87281966,0.02327228,0.47648524,0.45310738,-0.02337786,0.48699121,0.47300586,-0.01398535,0.122,0.0,-0.122,0.122,0.317,0.195
M2,3,10,single_stage,Gaussian noise sigma=0.02,gaussian_noise__sigma=0.02,0.8255,0.8455,0.02,0.8284561,0.85655315,0.02809705,0.821,0.83,0.009,0.83,0.861,0.031,0.8247112,0.84306755,0.01835635,0.8255,0.8455,0.02,0.65102637,0.69133226,0.04030589,0.905378,0.919904,0.014526,0.87878178,0.90366872,0.02488694,0.44675498,0.39891594,-0.04783904,0.46972754,0.43834924,-0.0313783,0.212,0.0,-0.212,0.522,0.568,0.046
M2,3,11,single_stage,Gaussian noise sigma=0.05,gaussian_noise__sigma=0.05,0.817,0.8445,0.0275,0.81827309,0.84346959,0.0251965,0.815,0.846,0.031,0.819,0.843,0.024,0.81663327,0.8447329,0.02809963,0.817,0.8445,0.0275,0.63400507,0.6890031,0.05499803,0.8945365,0.9140445,0.019508,0.86773035,0.89583219,0.02810184,0.45644496,0.41453229,-0.04191267,0.47536475,0.44867187,-0.02669288,0.2,0.0,-0.2,0.2,0.571,0.371
M2,3,12,single_stage,Gaussian noise sigma=0.10,gaussian_noise__sigma=0.1,0.793,0.812,0.019,0.78065134,0.79942418,0.01877284,0.815,0.833,0.018,0.771,0.791,0.02,0.79745597,0.8158668,0.01841083,0.793,0.812,0.019,0.58656807,0.6245511,0.03798303,0.876394,0.8929695,0.0165755,0.84513094,0.86793647,0.02280553,0.47114471,0.44033704,-0.03080767,0.48370947,0.46491309,-0.01879638,0.0,0.0,0.0,0.191,0.323,0.132
M2,3,13,single_stage,Color jitter 0.8/0.8/0.8,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,0.842,0.848,0.006,0.84615385,0.82044199,-0.02571186,0.836,0.891,0.055,0.848,0.805,-0.043,0.84104628,0.85426654,0.01322026,0.842,0.848,0.006,0.68404925,0.69858817,0.01453892,0.9191645,0.9201295,0.000965,0.89789267,0.89304592,-0.00484675,0.44866425,0.40570624,-0.04295801,0.47098535,0.44321472,-0.02777063,0.194,0.0,-0.194,0.516,0.421,-0.095
M2,3,14,single_stage,Color jitter 1.2/1.2/1.2,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,0.8275,0.8365,0.009,0.81703775,0.84583762,0.02879987,0.844,0.823,-0.021,0.811,0.85,0.039,0.83030005,0.83426254,0.00396249,0.8275,0.8365,0.009,0.65535694,0.67324544,0.0178885,0.9079805,0.9131285,0.005148,0.88593966,0.90011504,0.01417538,0.45586236,0.41547769,-0.04038467,0.47507886,0.44910669,-0.02597217,0.0,0.0,0.0,0.283,0.553,0.27
M2,3,15,single_stage,Center crop ratio=0.8,center_crop__ratio=0.8,0.8295,0.8415,0.012,0.81114259,0.82126058,0.01011799,0.859,0.873,0.014,0.8,0.81,0.01,0.83438562,0.84634028,0.01195466,0.8295,0.8415,0.012,0.66014999,0.68435946,0.02420947,0.9041765,0.9157435,0.011567,0.87683568,0.89209319,0.01525751,0.45189037,0.41640203,-0.03548834,0.47280518,0.450703,-0.02210218,0.239,0.0,-0.239,0.239,0.387,0.148
M2,3,16,two_stage,2-stage resize 0.5 + JPEG Q70,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,0.8375,0.8545,0.017,0.85046729,0.83411876,-0.01634853,0.819,0.885,0.066,0.856,0.824,-0.032,0.83443709,0.8588064,0.02436931,0.8375,0.8545,0.017,0.67546251,0.71032279,0.03486028,0.915084,0.924882,0.009798,0.8895959,0.90509226,0.01549636,0.44623626,0.42141517,-0.02482109,0.46976514,0.45412708,-0.01563806,0.153,0.0,-0.153,0.478,0.411,-0.067
M2,3,17,two_stage,2-stage crop 0.8 + JPEG Q50,center_crop__ratio=0.8__jpeg__quality=50,0.823,0.8355,0.0125,0.79962894,0.79199304,-0.0076359,0.862,0.91,0.048,0.784,0.761,-0.023,0.82964389,0.84690554,0.01726165,0.823,0.8355,0.0125,0.64797414,0.6785748,0.03060066,0.893453,0.9107475,0.0172945,0.85923161,0.88350618,0.02427457,0.45926176,0.44175926,-0.0175025,0.47726392,0.46669067,-0.01057325,0.0,0.0,0.0,0.26,0.447,0.187
M2,3,18,four_stage,4-stage A platform repost,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,0.8185,0.8295,0.011,0.82335025,0.81291548,-0.01043477,0.811,0.856,0.045,0.826,0.803,-0.023,0.81712846,0.83390161,0.01677315,0.8185,0.8295,0.011,0.63707167,0.65992752,0.02285585,0.896791,0.9094125,0.0126215,0.86537459,0.89136244,0.02598785,0.46032498,0.43719698,-0.023128,0.47777588,0.46350037,-0.01427551,0.167,0.0,-0.167,0.167,0.375,0.208
M2,3,19,four_stage,4-stage B edit repost,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,0.746,0.795,0.049,0.81139241,0.82346491,0.0120725,0.641,0.751,0.11,0.851,0.839,-0.012,0.71620112,0.78556485,0.06936373,0.746,0.795,0.049,0.50322113,0.59229783,0.0890767,0.8631425,0.8820645,0.018922,0.83077524,0.86143145,0.03065621,0.45787761,0.44273276,-0.01514485,0.47556177,0.46606909,-0.00949268,0.059,0.192,0.133,0.287,0.417,0.13
M2,3,20,six_stage,6-stage random composition,strict_random_six__profile=full_training_range_v1,0.7115,0.7575,0.046,0.7854251,0.7719113,-0.0135138,0.582,0.731,0.149,0.841,0.784,-0.057,0.66858128,0.75089882,0.08231754,0.7115,0.7575,0.046,0.43794382,0.51572484,0.07778102,0.8275925,0.84313,0.0155375,0.79171857,0.81174348,0.02002491,0.46345036,0.44556346,-0.0178869,0.47821729,0.46737488,-0.01084241,0.054,0.0,-0.054,0.243,0.2,-0.043
M3,4,0,clean,Clean,clean,0.8525,0.8495,-0.003,0.8161435,0.83899127,0.02284777,0.91,0.865,-0.045,0.795,0.834,0.039,0.86052009,0.85179714,-0.00872295,0.8525,0.8495,-0.003,0.70970857,0.69933611,-0.01037246,0.9278605,0.926062,-0.0017985,0.90522066,0.905203,-1.766e-05,0.40440878,0.39439215,-0.01001663,0.44257983,0.43544067,-0.00713916,0.0,0.0,0.0,0.504,0.436,-0.068
M3,4,1,single_stage,JPEG Q90,jpeg__quality=90,0.8525,0.852,-0.0005,0.81557744,0.84108527,0.02550783,0.911,0.868,-0.043,0.794,0.836,0.042,0.86065187,0.85433071,-0.00632116,0.8525,0.852,-0.0005,0.70987549,0.70436073,-0.00551476,0.9283665,0.9276525,-0.000714,0.90603653,0.90679728,0.00076075,0.40423701,0.39486386,-0.00937315,0.44243433,0.4358252,-0.00660913,0.0,0.0,0.0,0.5,0.443,-0.057
M3,4,2,single_stage,JPEG Q70,jpeg__quality=70,0.848,0.8485,0.0005,0.80851064,0.81943171,0.01092107,0.912,0.894,-0.018,0.784,0.803,0.019,0.85714286,0.85509326,-0.0020496,0.848,0.8485,0.0005,0.70177266,0.69990398,-0.00186868,0.922365,0.922846,0.000481,0.89849606,0.89878736,0.0002913,0.41538732,0.41354256,-0.00184476,0.45015637,0.44834265,-0.00181372,0.0,0.0,0.0,0.451,0.441,-0.01
M3,4,3,single_stage,JPEG Q50,jpeg__quality=50,0.8335,0.848,0.0145,0.78874459,0.81751825,0.02877366,0.911,0.896,-0.015,0.756,0.8,0.044,0.84547564,0.85496183,0.00948619,0.8335,0.848,0.0145,0.67515966,0.69922951,0.02406985,0.918023,0.920558,0.002535,0.8900451,0.89721054,0.00716544,0.43560262,0.42652034,-0.00908228,0.46315833,0.45676257,-0.00639576,0.0,0.0,0.0,0.485,0.437,-0.048
M3,4,4,single_stage,JPEG Q30,jpeg__quality=30,0.833,0.8455,0.0125,0.78756477,0.81784729,0.03028252,0.912,0.889,-0.023,0.754,0.802,0.048,0.84522706,0.85194058,0.00671352,0.833,0.8455,0.0125,0.67447197,0.69363003,0.01915806,0.912666,0.917694,0.005028,0.88258739,0.89136062,0.00877323,0.43396653,0.42261307,-0.01135346,0.46207043,0.45424341,-0.00782702,0.0,0.0,0.0,0.466,0.407,-0.059
M3,4,5,single_stage,Gaussian blur sigma=0.5,gaussian_blur__sigma=0.5,0.855,0.864,0.009,0.81810036,0.85271318,0.03461282,0.913,0.88,-0.033,0.797,0.848,0.051,0.86294896,0.86614173,0.00319277,0.855,0.864,0.009,0.71482564,0.72837302,0.01354738,0.9303365,0.931187,0.0008505,0.90641255,0.90844629,0.00203374,0.40808429,0.39685988,-0.01122441,0.44552454,0.43787671,-0.00764783,0.0,0.0,0.0,0.491,0.418,-0.073
M3,4,6,single_stage,Gaussian blur sigma=1.0,gaussian_blur__sigma=1.0,0.841,0.855,0.014,0.78135314,0.80977312,0.02841998,0.947,0.928,-0.019,0.735,0.782,0.047,0.8562387,0.86486486,0.00862616,0.841,0.855,0.014,0.69786265,0.71769035,0.0198277,0.9321405,0.9332725,0.001132,0.90578445,0.91254198,0.00675753,0.45648394,0.45019488,-0.00628906,0.47602344,0.47208142,-0.00394202,0.0,0.0,0.0,0.542,0.48,-0.062
M3,4,7,single_stage,Gaussian blur sigma=2.0,gaussian_blur__sigma=2.0,0.801,0.823,0.022,0.73442368,0.79417122,0.05974754,0.943,0.872,-0.071,0.659,0.774,0.115,0.82574431,0.83126787,0.00552356,0.801,0.823,0.022,0.62785227,0.64912462,0.02127235,0.9056565,0.8978505,-0.007806,0.87123421,0.87582442,0.00459021,0.47320178,0.46658562,-0.00661616,0.48545752,0.48109717,-0.00436035,0.0,0.0,0.0,0.442,0.277,-0.165
M3,4,8,single_stage,Resize 0.5 bicubic,resize__interpolation=bicubic_scale=0.5,0.8365,0.85,0.0135,0.78111947,0.81588448,0.03476501,0.935,0.904,-0.031,0.738,0.796,0.058,0.85116067,0.85768501,0.00652434,0.8365,0.85,0.0135,0.68645207,0.70411846,0.01766639,0.9245355,0.926787,0.0022515,0.89650578,0.90442199,0.00791621,0.44837363,0.43650352,-0.01187011,0.47114429,0.46371631,-0.00742798,0.0,0.0,0.0,0.481,0.41,-0.071
M3,4,9,single_stage,Resize 0.25 bilinear,resize__interpolation=bilinear_scale=0.25,0.81,0.8195,0.0095,0.7545156,0.82370821,0.06919261,0.919,0.813,-0.106,0.701,0.826,0.125,0.82867448,0.81831907,-0.01035541,0.81,0.8195,0.0095,0.63527925,0.639054,0.00377475,0.900451,0.8976885,-0.0027625,0.86492378,0.87846133,0.01353755,0.47015245,0.46200454,-0.00814791,0.48364966,0.47836499,-0.00528467,0.0,0.186,0.186,0.318,0.515,0.197
M3,4,10,single_stage,Gaussian noise sigma=0.02,gaussian_noise__sigma=0.02,0.838,0.8465,0.0085,0.82190476,0.86206897,0.04016421,0.863,0.825,-0.038,0.813,0.868,0.055,0.84195122,0.84312724,0.00117602,0.838,0.8465,0.0085,0.67684659,0.69364157,0.01679498,0.9144705,0.919514,0.0050435,0.8888486,0.90071684,0.01186824,0.40988648,0.39151255,-0.01837393,0.44635083,0.43286914,-0.01348169,0.0,0.0,0.0,0.379,0.586,0.207
M3,4,11,single_stage,Gaussian noise sigma=0.05,gaussian_noise__sigma=0.05,0.8315,0.8405,0.009,0.81421801,0.84015984,0.02594183,0.859,0.841,-0.018,0.804,0.84,0.036,0.83600973,0.84057971,0.00456998,0.8315,0.8405,0.009,0.66400507,0.68100034,0.01699527,0.901319,0.912741,0.011422,0.87153933,0.88837016,0.01683083,0.42269634,0.41234322,-0.01035312,0.45460938,0.44703369,-0.00757569,0.0,0.0,0.0,0.351,0.346,-0.005
M3,4,12,single_stage,Gaussian noise sigma=0.10,gaussian_noise__sigma=0.1,0.8015,0.8165,0.015,0.78524125,0.79551821,0.01027696,0.83,0.852,0.022,0.773,0.781,0.008,0.80700049,0.82279092,0.01579043,0.8015,0.8165,0.015,0.60398197,0.63460153,0.03061956,0.881605,0.886867,0.005262,0.84918758,0.85238539,0.00319781,0.44401416,0.44487696,0.0008628,0.46757751,0.46773462,0.00015711,0.0,0.0,0.0,0.323,0.37,0.047
M3,4,13,single_stage,Color jitter 0.8/0.8/0.8,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,0.854,0.851,-0.003,0.82777778,0.83492366,0.00714588,0.894,0.875,-0.019,0.814,0.827,0.013,0.85961538,0.85449219,-0.00512319,0.854,0.851,-0.003,0.71027653,0.7028101,-0.00746643,0.9260245,0.922503,-0.0035215,0.90164322,0.89685768,-0.00478554,0.42332091,0.40246688,-0.02085403,0.45530591,0.44097571,-0.0143302,0.0,0.0,0.0,0.419,0.379,-0.04
M3,4,14,single_stage,Color jitter 1.2/1.2/1.2,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,0.8355,0.835,-0.0005,0.81093605,0.83702213,0.02608608,0.875,0.832,-0.043,0.796,0.838,0.042,0.84175084,0.83450351,-0.00724733,0.8355,0.835,-0.0005,0.67310371,0.67001206,-0.00309165,0.9160595,0.9148605,-0.001199,0.89404457,0.897461,0.00341643,0.42514255,0.41368659,-0.01145596,0.45592896,0.44786084,-0.00806812,0.0,0.0,0.0,0.421,0.599,0.178
M3,4,15,single_stage,Center crop ratio=0.8,center_crop__ratio=0.8,0.8365,0.838,0.0015,0.80017841,0.81826742,0.01808901,0.897,0.869,-0.028,0.776,0.807,0.031,0.84582744,0.842871,-0.00295644,0.8365,0.838,0.0015,0.67798146,0.67730303,-0.00067843,0.9102505,0.9144885,0.004238,0.87856036,0.88929653,0.01073617,0.4218827,0.41260874,-0.00927396,0.45433191,0.44802332,-0.00630859,0.0,0.0,0.0,0.419,0.384,-0.035
M3,4,16,two_stage,2-stage resize 0.5 + JPEG Q70,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,0.85,0.8585,0.0085,0.82347505,0.84372004,0.02024499,0.891,0.88,-0.011,0.809,0.837,0.028,0.85590778,0.86147822,0.00557044,0.85,0.8585,0.0085,0.70236534,0.71766379,0.01529845,0.9234155,0.9289615,0.005546,0.89780288,0.91059658,0.0127937,0.4259449,0.42224999,-0.00369491,0.45758923,0.45476807,-0.00282116,0.0,0.0,0.0,0.352,0.381,0.029
M3,4,17,two_stage,2-stage crop 0.8 + JPEG Q50,center_crop__ratio=0.8__jpeg__quality=50,0.826,0.8275,0.0015,0.78006873,0.78503046,0.00496173,0.908,0.902,-0.006,0.744,0.753,0.009,0.83918669,0.83946021,0.00027352,0.826,0.8275,0.0015,0.66094903,0.66239418,0.00144515,0.901669,0.909627,0.007958,0.86516068,0.8801551,0.01499442,0.44146518,0.44141392,-5.126e-05,0.46689404,0.46641846,-0.00047558,0.0,0.0,0.0,0.471,0.449,-0.022
M3,4,18,four_stage,4-stage A platform repost,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,0.8355,0.8315,-0.004,0.79716563,0.82153249,0.02436686,0.9,0.847,-0.053,0.771,0.816,0.045,0.84546736,0.83407189,-0.01139547,0.8355,0.8315,-0.004,0.67665372,0.6633188,-0.01333492,0.908712,0.9081175,-0.0005945,0.87888778,0.88801127,0.00912349,0.45097242,0.44366831,-0.00730411,0.47259668,0.46753003,-0.00506665,0.0,0.0,0.0,0.364,0.323,-0.041
M3,4,19,four_stage,4-stage B edit repost,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,0.7865,0.7975,0.011,0.79937304,0.81481481,0.01544177,0.765,0.77,0.005,0.808,0.825,0.017,0.78180889,0.79177378,0.00996489,0.7865,0.7975,0.011,0.57353047,0.59590198,0.02237151,0.8732305,0.8841005,0.01087,0.84096581,0.8619827,0.02101689,0.43813233,0.44334919,0.00521686,0.46407056,0.46664526,0.0025747,0.0,0.219,0.219,0.19,0.459,0.269
M3,4,20,six_stage,6-stage random composition,strict_random_six__profile=full_training_range_v1,0.739,0.755,0.016,0.77471264,0.7712766,-0.00343604,0.674,0.725,0.051,0.804,0.785,-0.019,0.72085561,0.74742268,0.02656707,0.739,0.755,0.016,0.48209103,0.51092049,0.02882946,0.83278,0.840856,0.008076,0.79652007,0.80514068,0.00862061,0.44345945,0.44949976,0.00604031,0.46612244,0.46999854,0.0038761,0.0,0.0,0.0,0.146,0.196,0.05
