sample_id,addition_group,source_file,row_group,row_index,image_name,source_format,model_name_raw,canonical_generator_id,official_split,label,architecture,relative_path,status
cf_train_v3_gan_aigi_0551fc421656881d,gan_aigi,data/HFCF_small_75.parquet,0,2455,007724.png,PNG,StyleSwin,styleswin,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0551fc421656881d_007724.png.png,complete
cf_train_v3_gan_aigi_05732d0a5ac8ba0c,gan_aigi,data/HFCF_small_74.parquet,0,2298,002973.png,PNG,CIPS,cips,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_05732d0a5ac8ba0c_002973.png.png,complete
cf_train_v3_gan_aigi_0577190b3ebb77eb,gan_aigi,data/HFCF_small_76.parquet,0,1493,008573.png,PNG,ProGAN,progan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0577190b3ebb77eb_008573.png.png,complete
cf_train_v3_gan_aigi_05e098cf8b88a635,gan_aigi,data/HFCF_small_66.parquet,0,2225,002395.png,PNG,StyleGAN3,stylegan3,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_05e098cf8b88a635_002395.png.png,complete
cf_train_v3_gan_aigi_0621e3806091673f,gan_aigi,data/HFCF_small_73.parquet,0,2902,048153.png,PNG,StyleSANXL,stylesanxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0621e3806091673f_048153.png.png,complete
cf_train_v3_gan_aigi_063eceac75073fb8,gan_aigi,data/HFCF_small_84.parquet,0,2306,011734.png,PNG,BigGAN,biggan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_063eceac75073fb8_011734.png.png,complete
cf_train_v3_gan_aigi_067c206a14c4112f,gan_aigi,data/HFCF_small_84.parquet,0,2399,030335.png,PNG,BigGAN,biggan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_067c206a14c4112f_030335.png.png,complete
cf_train_v3_gan_aigi_0700dc0506255d23,gan_aigi,data/HFCF_small_66.parquet,0,1334,001623.png,PNG,Gansformer,gansformer,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0700dc0506255d23_001623.png.png,complete
cf_train_v3_gan_aigi_07413740e8b88f04,gan_aigi,data/HFCF_small_66.parquet,0,2275,000144.png,PNG,StyleGAN3,stylegan3,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_07413740e8b88f04_000144.png.png,complete
cf_train_v3_gan_aigi_074ebf8fee145a9e,gan_aigi,data/HFCF_small_75.parquet,0,2733,004427.png,PNG,StyleSwin,styleswin,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_074ebf8fee145a9e_004427.png.png,complete
cf_train_v3_gan_aigi_075aff897e5292ea,gan_aigi,data/HFCF_small_66.parquet,0,2483,006324.png,PNG,StyleGAN3,stylegan3,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_075aff897e5292ea_006324.png.png,complete
cf_train_v3_gan_aigi_0793e3e207b7102d,gan_aigi,data/HFCF_small_92.parquet,0,2394,137635.png,PNG,GigaGAN,gigagan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0793e3e207b7102d_137635.png.png,complete
cf_train_v3_gan_aigi_07adb88d3650e604,gan_aigi,data/HFCF_small_76.parquet,0,2699,029755.png,PNG,ProGAN,progan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_07adb88d3650e604_029755.png.png,complete
cf_train_v3_gan_aigi_07c93de376e3ae23,gan_aigi,data/HFCF_small_74.parquet,0,2071,005151.png,PNG,StyleGAN2-ADA,stylegan2-ada,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_07c93de376e3ae23_005151.png.png,complete
cf_train_v3_gan_aigi_08192dbbe0341abd,gan_aigi,data/HFCF_small_69.parquet,0,2631,028728.png,PNG,StyleGAN2,stylegan2,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_08192dbbe0341abd_028728.png.png,complete
cf_train_v3_gan_aigi_087dbe3c73dc3239,gan_aigi,data/HFCF_small_69.parquet,0,1696,021470.png,PNG,StyleGAN2,stylegan2,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_087dbe3c73dc3239_021470.png.png,complete
cf_train_v3_gan_aigi_08866f77cc4c4748,gan_aigi,data/HFCF_small_73.parquet,0,1581,022240.png,PNG,StyleSANXL,stylesanxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_08866f77cc4c4748_022240.png.png,complete
cf_train_v3_gan_aigi_08c5d3201ede1a46,gan_aigi,data/HFCF_small_84.parquet,0,1541,086611.png,PNG,BigGAN,biggan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_08c5d3201ede1a46_086611.png.png,complete
cf_train_v3_gan_aigi_08c93ee094ed06b4,gan_aigi,data/HFCF_small_80.parquet,0,2158,029509.png,PNG,StyleGANXL,styleganxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_08c93ee094ed06b4_029509.png.png,complete
cf_train_v3_gan_aigi_095b64ccc7aa8650,gan_aigi,data/HFCF_small_76.parquet,0,1930,015472.png,PNG,ProGAN,progan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_095b64ccc7aa8650_015472.png.png,complete
cf_train_v3_gan_aigi_0961f6937b55067c,gan_aigi,data/HFCF_small_67.parquet,0,2401,008911.png,PNG,ProjectedGAN,projectedgan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0961f6937b55067c_008911.png.png,complete
cf_train_v3_gan_aigi_0965c08277227575,gan_aigi,data/HFCF_small_75.parquet,0,1223,003011.png,PNG,StyleSwin,styleswin,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0965c08277227575_003011.png.png,complete
cf_train_v3_gan_aigi_09780aab4bede1c8,gan_aigi,data/HFCF_small_66.parquet,0,883,000618.png,PNG,Gansformer,gansformer,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_09780aab4bede1c8_000618.png.png,complete
cf_train_v3_gan_aigi_0a27787f7b919f47,gan_aigi,data/HFCF_small_69.parquet,0,2561,005958.png,PNG,StyleGAN2,stylegan2,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0a27787f7b919f47_005958.png.png,complete
cf_train_v3_gan_aigi_0a3276598c447561,gan_aigi,data/HFCF_small_69.parquet,0,1693,001108.png,PNG,StyleGAN2,stylegan2,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0a3276598c447561_001108.png.png,complete
cf_train_v3_gan_aigi_0a33a3048980ee4e,gan_aigi,data/HFCF_small_75.parquet,0,911,007206.png,PNG,StyleSwin,styleswin,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0a33a3048980ee4e_007206.png.png,complete
cf_train_v3_gan_aigi_0aa89df7cc276be0,gan_aigi,data/HFCF_small_75.parquet,0,2661,001907.png,PNG,StyleSwin,styleswin,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0aa89df7cc276be0_001907.png.png,complete
cf_train_v3_gan_aigi_0b08d8fb2afc6c53,gan_aigi,data/HFCF_small_66.parquet,0,1898,003664.png,PNG,StyleGAN3,stylegan3,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0b08d8fb2afc6c53_003664.png.png,complete
cf_train_v3_gan_aigi_0ba61a6f60231992,gan_aigi,data/HFCF_small_74.parquet,0,1269,002006.png,PNG,StyleGAN2-ADA,stylegan2-ada,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0ba61a6f60231992_002006.png.png,complete
cf_train_v3_gan_aigi_0bd8336434165a81,gan_aigi,data/HFCF_small_74.parquet,0,2942,006980.png,PNG,CIPS,cips,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0bd8336434165a81_006980.png.png,complete
cf_train_v3_gan_aigi_0bf027780fc52f2a,gan_aigi,data/HFCF_small_80.parquet,0,1672,042625.png,PNG,StyleGANXL,styleganxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0bf027780fc52f2a_042625.png.png,complete
cf_train_v3_gan_aigi_0c204a474ce7d519,gan_aigi,data/HFCF_small_92.parquet,0,318,161014.png,PNG,GigaGAN,gigagan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0c204a474ce7d519_161014.png.png,complete
cf_train_v3_gan_aigi_0c25912ae82ba1cb,gan_aigi,data/HFCF_small_80.parquet,0,1381,045141.png,PNG,StyleGANXL,styleganxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0c25912ae82ba1cb_045141.png.png,complete
cf_train_v3_gan_aigi_0c9e81f5d7c656a0,gan_aigi,data/HFCF_small_66.parquet,0,1904,008228.png,PNG,StyleGAN3,stylegan3,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0c9e81f5d7c656a0_008228.png.png,complete
cf_train_v3_gan_aigi_0ccfff96af9d01c8,gan_aigi,data/HFCF_small_67.parquet,0,2645,002091.png,PNG,ProjectedGAN,projectedgan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0ccfff96af9d01c8_002091.png.png,complete
cf_train_v3_gan_aigi_0cf244a3796a4b78,gan_aigi,data/HFCF_small_76.parquet,0,2960,001969.png,PNG,ProGAN,progan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0cf244a3796a4b78_001969.png.png,complete
cf_train_v3_gan_aigi_0d06e929b549ccd6,gan_aigi,data/HFCF_small_74.parquet,0,2217,009278.png,PNG,CIPS,cips,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0d06e929b549ccd6_009278.png.png,complete
cf_train_v3_gan_aigi_0d0ab00706c76b17,gan_aigi,data/HFCF_small_80.parquet,0,591,018073.png,PNG,StyleGANXL,styleganxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0d0ab00706c76b17_018073.png.png,complete
cf_train_v3_gan_aigi_0d2a2d737605816c,gan_aigi,data/HFCF_small_73.parquet,0,2710,047376.png,PNG,StyleSANXL,stylesanxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0d2a2d737605816c_047376.png.png,complete
cf_train_v3_gan_aigi_0de43b28eb2b1189,gan_aigi,data/HFCF_small_80.parquet,0,288,002173.png,PNG,StyleGANXL,styleganxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0de43b28eb2b1189_002173.png.png,complete
cf_train_v3_gan_aigi_0e00f66f462901af,gan_aigi,data/HFCF_small_80.parquet,0,1558,057794.png,PNG,StyleGANXL,styleganxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0e00f66f462901af_057794.png.png,complete
cf_train_v3_gan_aigi_0e0858d148e888ec,gan_aigi,data/HFCF_small_66.parquet,0,1004,000737.png,PNG,Gansformer,gansformer,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0e0858d148e888ec_000737.png.png,complete
cf_train_v3_gan_aigi_0e15189fa32da8d4,gan_aigi,data/HFCF_small_69.parquet,0,2010,012061.png,PNG,StyleGAN2,stylegan2,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0e15189fa32da8d4_012061.png.png,complete
cf_train_v3_gan_aigi_0e4252c5dbad8e5e,gan_aigi,data/HFCF_small_69.parquet,0,339,011401.png,PNG,StyleGAN2,stylegan2,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0e4252c5dbad8e5e_011401.png.png,complete
cf_train_v3_gan_aigi_0e7c73479a139910,gan_aigi,data/HFCF_small_73.parquet,0,1606,008630.png,PNG,StyleSANXL,stylesanxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0e7c73479a139910_008630.png.png,complete
cf_train_v3_gan_aigi_0e9935befc30fba8,gan_aigi,data/HFCF_small_74.parquet,0,2460,006483.png,PNG,CIPS,cips,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0e9935befc30fba8_006483.png.png,complete
cf_train_v3_gan_aigi_0ea4d01bdf1f3d81,gan_aigi,data/HFCF_small_66.parquet,0,900,006296.png,PNG,Gansformer,gansformer,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0ea4d01bdf1f3d81_006296.png.png,complete
cf_train_v3_gan_aigi_0ee6c0deaf9d485d,gan_aigi,data/HFCF_small_73.parquet,0,2039,003381.png,PNG,StyleSANXL,stylesanxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0ee6c0deaf9d485d_003381.png.png,complete
cf_train_v3_gan_aigi_0f32d45def96fe32,gan_aigi,data/HFCF_small_74.parquet,0,1766,001514.png,PNG,StyleGAN2-ADA,stylegan2-ada,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0f32d45def96fe32_001514.png.png,complete
cf_train_v3_gan_aigi_0f600e7aeb8db7b0,gan_aigi,data/HFCF_small_75.parquet,0,1378,002232.png,PNG,StyleSwin,styleswin,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0f600e7aeb8db7b0_002232.png.png,complete
cf_train_v3_gan_aigi_0f64bea13bc2ec15,gan_aigi,data/HFCF_small_75.parquet,0,2178,005655.png,PNG,StyleSwin,styleswin,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0f64bea13bc2ec15_005655.png.png,complete
cf_train_v3_gan_aigi_0f76171f72f0ac94,gan_aigi,data/HFCF_small_84.parquet,0,601,010234.png,PNG,BigGAN,biggan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0f76171f72f0ac94_010234.png.png,complete
cf_train_v3_gan_aigi_0fecd0460a8db167,gan_aigi,data/HFCF_small_92.parquet,0,1662,044429.png,PNG,GigaGAN,gigagan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_0fecd0460a8db167_044429.png.png,complete
cf_train_v3_gan_aigi_10008157cb24e3fc,gan_aigi,data/HFCF_small_67.parquet,0,2704,006972.png,PNG,ProjectedGAN,projectedgan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_10008157cb24e3fc_006972.png.png,complete
cf_train_v3_gan_aigi_102847d9ca765b1d,gan_aigi,data/HFCF_small_67.parquet,0,2564,005023.png,PNG,ProjectedGAN,projectedgan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_102847d9ca765b1d_005023.png.png,complete
cf_train_v3_gan_aigi_106e48f47d186b15,gan_aigi,data/HFCF_small_75.parquet,0,481,000131.png,PNG,StyleSwin,styleswin,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_106e48f47d186b15_000131.png.png,complete
cf_train_v3_gan_aigi_10de11ee2bae6855,gan_aigi,data/HFCF_small_76.parquet,0,2685,019319.png,PNG,ProGAN,progan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_10de11ee2bae6855_019319.png.png,complete
cf_train_v3_gan_aigi_11102b3417e2e3dc,gan_aigi,data/HFCF_small_75.parquet,0,2769,000123.png,PNG,StyleSwin,styleswin,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_11102b3417e2e3dc_000123.png.png,complete
cf_train_v3_gan_aigi_11b2eaea40c4bcc5,gan_aigi,data/HFCF_small_66.parquet,0,1873,009963.png,PNG,StyleGAN3,stylegan3,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_11b2eaea40c4bcc5_009963.png.png,complete
cf_train_v3_gan_aigi_122795a81f75e6c5,gan_aigi,data/HFCF_small_66.parquet,0,1015,006795.png,PNG,Gansformer,gansformer,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_122795a81f75e6c5_006795.png.png,complete
cf_train_v3_gan_aigi_1295fe58b54fe027,gan_aigi,data/HFCF_small_75.parquet,0,2518,013712.png,PNG,StyleSwin,styleswin,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_1295fe58b54fe027_013712.png.png,complete
cf_train_v3_gan_aigi_12e064ed33493397,gan_aigi,data/HFCF_small_75.parquet,0,739,014468.png,PNG,StyleSwin,styleswin,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_12e064ed33493397_014468.png.png,complete
cf_train_v3_gan_aigi_13308a7279b874a1,gan_aigi,data/HFCF_small_66.parquet,0,2978,000013.png,PNG,StyleGAN3,stylegan3,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_13308a7279b874a1_000013.png.png,complete
cf_train_v3_gan_aigi_139340178078c150,gan_aigi,data/HFCF_small_92.parquet,0,1242,016073.png,PNG,GigaGAN,gigagan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_139340178078c150_016073.png.png,complete
cf_train_v3_gan_aigi_13a9ca89a5b72e1d,gan_aigi,data/HFCF_small_73.parquet,0,427,020475.png,PNG,StyleSANXL,stylesanxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_13a9ca89a5b72e1d_020475.png.png,complete
cf_train_v3_gan_aigi_13adcec69f9b6ef4,gan_aigi,data/HFCF_small_67.parquet,0,2643,003301.png,PNG,ProjectedGAN,projectedgan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_13adcec69f9b6ef4_003301.png.png,complete
cf_train_v3_gan_aigi_141e066e22f60fb5,gan_aigi,data/HFCF_small_74.parquet,0,1497,004350.png,PNG,StyleGAN2-ADA,stylegan2-ada,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_141e066e22f60fb5_004350.png.png,complete
cf_train_v3_gan_aigi_143c07231a4d8459,gan_aigi,data/HFCF_small_66.parquet,0,2577,002234.png,PNG,StyleGAN3,stylegan3,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_143c07231a4d8459_002234.png.png,complete
cf_train_v3_gan_aigi_146cf4615bc847cc,gan_aigi,data/HFCF_small_80.parquet,0,569,002756.png,PNG,StyleGANXL,styleganxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_146cf4615bc847cc_002756.png.png,complete
cf_train_v3_gan_aigi_14cc077b7e50a1bd,gan_aigi,data/HFCF_small_92.parquet,0,2326,056083.png,PNG,GigaGAN,gigagan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_14cc077b7e50a1bd_056083.png.png,complete
cf_train_v3_gan_aigi_150be7a27f026c26,gan_aigi,data/HFCF_small_66.parquet,0,1796,001953.png,PNG,StyleGAN3,stylegan3,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_150be7a27f026c26_001953.png.png,complete
cf_train_v3_gan_aigi_15a15a4d3a72be4e,gan_aigi,data/HFCF_small_80.parquet,0,1548,058802.png,PNG,StyleGANXL,styleganxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_15a15a4d3a72be4e_058802.png.png,complete
cf_train_v3_gan_aigi_161ed5a7e67bf8ac,gan_aigi,data/HFCF_small_76.parquet,0,2588,021240.png,PNG,ProGAN,progan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_161ed5a7e67bf8ac_021240.png.png,complete
cf_train_v3_gan_aigi_16b1d44f59f89e85,gan_aigi,data/HFCF_small_74.parquet,0,1745,004982.png,PNG,StyleGAN2-ADA,stylegan2-ada,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_16b1d44f59f89e85_004982.png.png,complete
cf_train_v3_gan_aigi_1711ae35338f9f60,gan_aigi,data/HFCF_small_66.parquet,0,2243,009784.png,PNG,StyleGAN3,stylegan3,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_1711ae35338f9f60_009784.png.png,complete
cf_train_v3_gan_aigi_1719a6068e6d3862,gan_aigi,data/HFCF_small_80.parquet,0,1487,036837.png,PNG,StyleGANXL,styleganxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_1719a6068e6d3862_036837.png.png,complete
cf_train_v3_gan_aigi_171ad04315b5cf4c,gan_aigi,data/HFCF_small_67.parquet,0,2953,003324.png,PNG,ProjectedGAN,projectedgan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_171ad04315b5cf4c_003324.png.png,complete
cf_train_v3_gan_aigi_177b49441d34ab5d,gan_aigi,data/HFCF_small_84.parquet,0,812,045666.png,PNG,BigGAN,biggan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_177b49441d34ab5d_045666.png.png,complete
cf_train_v3_gan_aigi_17c3edaf3320cb2c,gan_aigi,data/HFCF_small_73.parquet,0,2413,028776.png,PNG,StyleSANXL,stylesanxl,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_17c3edaf3320cb2c_028776.png.png,complete
cf_train_v3_gan_aigi_185a3d53240e8d01,gan_aigi,data/HFCF_small_92.parquet,0,699,145197.png,PNG,GigaGAN,gigagan,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_185a3d53240e8d01_145197.png.png,complete
cf_train_v3_gan_aigi_18bc6d3736e82b97,gan_aigi,data/HFCF_small_74.parquet,0,2468,009442.png,PNG,CIPS,cips,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_18bc6d3736e82b97_009442.png.png,complete
cf_train_v3_gan_aigi_18c41ded8feb62bf,gan_aigi,data/HFCF_small_74.parquet,0,2151,009801.png,PNG,CIPS,cips,train,1,GAN,train_v3_additions/aigi/cf_train_v3_gan_aigi_18c41ded8feb62bf_009801.png.png,complete
