sample_id,dataset_key,source_file,row_group,row_index,image_name,source_format,model_name_raw,canonical_generator_id,real_source,official_split,project_split,label,architecture,generator_exposure,relative_path
cf_test_external_seen_family_aigi_078f740a5ac98273,eval,data/CompEval-00086-of-00413.parquet,3,18,000037.png,PNG,Hourglass,hourglass,,test,test_external_seen_family,1,PixDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_078f740a5ac98273_000037.png.png
cf_test_external_seen_family_aigi_0817df5a25839353,eval,data/CompEval-00216-of-00413.parquet,3,14,000174.png,PNG,kvikontent_midjourney_v6,kvikontent-midjourney-v6,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0817df5a25839353_000174.png.png
cf_test_external_seen_family_aigi_082fe4b901f10133,eval,data/CompEval-00311-of-00413.parquet,4,9,000017.png,PNG,DeciDiffusionV2,decidiffusionv2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_082fe4b901f10133_000017.png.png
cf_test_external_seen_family_aigi_095cecf5473baad1,eval,data/CompEval-00358-of-00413.parquet,1,16,000807.png,PNG,LCM_lora_sdv15,lcm-lora-sdv15,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_095cecf5473baad1_000807.png.png
cf_test_external_seen_family_aigi_096a1716f9122093,eval,data/CompEval-00364-of-00413.parquet,1,19,000615.png,PNG,LCM_lora_sdv15,lcm-lora-sdv15,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_096a1716f9122093_000615.png.png
cf_test_external_seen_family_aigi_097a62c43fdc0d75,eval,data/CompEval-00215-of-00413.parquet,3,5,000622.png,PNG,kvikontent_midjourney_v6,kvikontent-midjourney-v6,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_097a62c43fdc0d75_000622.png.png
cf_test_external_seen_family_aigi_099526dcf7f3672e,eval,data/CompEval-00005-of-00413.parquet,3,21,000113.png,PNG,DFGAN,dfgan,COCO,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_099526dcf7f3672e_000113.png.png
cf_test_external_seen_family_aigi_09c880a1ac7b677d,eval,data/CompEval-00357-of-00413.parquet,2,15,000455.png,PNG,LCM_lora_sdv15,lcm-lora-sdv15,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_09c880a1ac7b677d_000455.png.png
cf_test_external_seen_family_aigi_0a008abeeef41f2a,eval,data/CompEval-00362-of-00413.parquet,2,18,000112.png,PNG,LCM_lora_sdv15,lcm-lora-sdv15,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0a008abeeef41f2a_000112.png.png
cf_test_external_seen_family_aigi_0a50564ee2ddcfde,eval,data/CompEval-00243-of-00413.parquet,2,4,000129.png,PNG,kandinsky_2_2,kandinsky-2-2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0a50564ee2ddcfde_000129.png.png
cf_test_external_seen_family_aigi_0a9bf7654386f7d0,eval,data/CompEval-00358-of-00413.parquet,4,9,000935.png,PNG,LCM_lora_sdv15,lcm-lora-sdv15,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0a9bf7654386f7d0_000935.png.png
cf_test_external_seen_family_aigi_0a9f0a7d3a504dc0,eval,data/CompEval-00362-of-00413.parquet,4,1,000462.png,PNG,LCM_lora_sdv15,lcm-lora-sdv15,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0a9f0a7d3a504dc0_000462.png.png
cf_test_external_seen_family_aigi_0aad77ea68e0da82,eval,data/CompEval-00245-of-00413.parquet,0,3,000605.png,PNG,kandinsky_2_2,kandinsky-2-2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0aad77ea68e0da82_000605.png.png
cf_test_external_seen_family_aigi_0ae4091529776f75,eval,data/CompEval-00057-of-00413.parquet,3,23,000696.png,PNG,LCM_lora_sdxl,lcm-lora-sdxl,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0ae4091529776f75_000696.png.png
cf_test_external_seen_family_aigi_0ae70a323d54c0b1,eval,data/CompEval-00316-of-00413.parquet,4,20,000471.png,PNG,DeciDiffusionV2,decidiffusionv2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0ae70a323d54c0b1_000471.png.png
cf_test_external_seen_family_aigi_0b023a3505068c64,eval,data/CompEval-00316-of-00413.parquet,1,19,000929.png,PNG,DeciDiffusionV2,decidiffusionv2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0b023a3505068c64_000929.png.png
cf_test_external_seen_family_aigi_0bdbf24e4fb0dd6e,eval,data/CompEval-00002-of-00413.parquet,0,22,000223.png,PNG,DFGAN,dfgan,COCO,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0bdbf24e4fb0dd6e_000223.png.png
cf_test_external_seen_family_aigi_0c43217db287bf60,eval,data/CompEval-00000-of-00413.parquet,2,15,000012.png,PNG,DFGAN,dfgan,COCO,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0c43217db287bf60_000012.png.png
cf_test_external_seen_family_aigi_0cc6a0517ec3f688,eval,data/CompEval-00006-of-00413.parquet,3,18,000044.png,PNG,DFGAN,dfgan,COCO,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0cc6a0517ec3f688_000044.png.png
cf_test_external_seen_family_aigi_0cd293ce338bfb20,eval,data/CompEval-00157-of-00413.parquet,4,8,000276.png,PNG,Hourglass,hourglass,,test,test_external_seen_family,1,PixDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0cd293ce338bfb20_000276.png.png
cf_test_external_seen_family_aigi_0d631ae4ad8473cb,eval,data/CompEval-00193-of-00413.parquet,4,9,000754.png,PNG,LCM_lora_ssd1b,lcm-lora-ssd1b,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0d631ae4ad8473cb_000754.png.png
cf_test_external_seen_family_aigi_0d91dc36c658295f,eval,data/CompEval-00244-of-00413.parquet,3,23,000623.png,PNG,kandinsky_2_2,kandinsky-2-2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0d91dc36c658295f_000623.png.png
cf_test_external_seen_family_aigi_0db8572a5ad98bd1,eval,data/CompEval-00217-of-00413.parquet,4,13,000738.png,PNG,kvikontent_midjourney_v6,kvikontent-midjourney-v6,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0db8572a5ad98bd1_000738.png.png
cf_test_external_seen_family_aigi_0e74b7b7b2b93f8c,eval,data/CompEval-00119-of-00413.parquet,4,19,000190.png,PNG,GALIP,galip,RAISE,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0e74b7b7b2b93f8c_000190.png.png
cf_test_external_seen_family_aigi_0e823d299abc6e16,eval,data/CompEval-00057-of-00413.parquet,2,16,000923.png,PNG,LCM_lora_sdxl,lcm-lora-sdxl,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0e823d299abc6e16_000923.png.png
cf_test_external_seen_family_aigi_0eeb3a084cb1237f,eval,data/CompEval-00058-of-00413.parquet,4,13,000357.png,PNG,LCM_lora_sdxl,lcm-lora-sdxl,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0eeb3a084cb1237f_000357.png.png
cf_test_external_seen_family_aigi_0f0a19dc3fbe5fc0,eval,data/CompEval-00239-of-00413.parquet,0,8,000756.png,PNG,kandinsky_2_2,kandinsky-2-2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0f0a19dc3fbe5fc0_000756.png.png
cf_test_external_seen_family_aigi_0f35a922d8217cdd,eval,data/CompEval-00240-of-00413.parquet,1,3,000048.png,PNG,kandinsky_2_2,kandinsky-2-2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0f35a922d8217cdd_000048.png.png
cf_test_external_seen_family_aigi_0f9ad2c6e603fd4d,eval,data/CompEval-00197-of-00413.parquet,4,7,000815.png,PNG,LCM_lora_ssd1b,lcm-lora-ssd1b,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0f9ad2c6e603fd4d_000815.png.png
cf_test_external_seen_family_aigi_0fd6bfe43bf2d88e,eval,data/CompEval-00125-of-00413.parquet,2,9,000641.png,PNG,GALIP,galip,RAISE,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0fd6bfe43bf2d88e_000641.png.png
cf_test_external_seen_family_aigi_0fe44be9cf759492,eval,data/CompEval-00311-of-00413.parquet,2,2,000759.png,PNG,DeciDiffusionV2,decidiffusionv2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0fe44be9cf759492_000759.png.png
cf_test_external_seen_family_aigi_0ffe6907b26b6d83,eval,data/CompEval-00215-of-00413.parquet,1,18,000317.png,PNG,kvikontent_midjourney_v6,kvikontent-midjourney-v6,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0ffe6907b26b6d83_000317.png.png
cf_test_external_seen_family_aigi_1026b0999a1a8042,eval,data/CompEval-00124-of-00413.parquet,4,4,000593.png,PNG,GALIP,galip,RAISE,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_1026b0999a1a8042_000593.png.png
cf_test_external_seen_family_aigi_102a4c80ddf1384d,eval,data/CompEval-00275-of-00413.parquet,2,7,000850.png,PNG,Hourglass,hourglass,FFHQ,test,test_external_seen_family,1,PixDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_102a4c80ddf1384d_000850.png.png
cf_test_external_seen_family_aigi_105e995e75f7ca11,eval,data/CompEval-00194-of-00413.parquet,4,19,000061.png,PNG,LCM_lora_ssd1b,lcm-lora-ssd1b,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_105e995e75f7ca11_000061.png.png
cf_test_external_seen_family_aigi_12881979fd0291de,eval,data/CompEval-00007-of-00413.parquet,3,13,000472.png,PNG,DFGAN,dfgan,COCO,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_12881979fd0291de_000472.png.png
cf_test_external_seen_family_aigi_12cdfc21fce4c40d,eval,data/CompEval-00217-of-00413.parquet,1,21,000433.png,PNG,kvikontent_midjourney_v6,kvikontent-midjourney-v6,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_12cdfc21fce4c40d_000433.png.png
cf_test_external_seen_family_aigi_1346bc47d6ac5875,eval,data/CompEval-00000-of-00413.parquet,2,23,000394.png,PNG,DFGAN,dfgan,COCO,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_1346bc47d6ac5875_000394.png.png
cf_test_external_seen_family_aigi_134c65596d1df599,eval,data/CompEval-00047-of-00413.parquet,1,14,000085.png,PNG,GALIP,galip,RAISE,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_134c65596d1df599_000085.png.png
cf_test_external_seen_family_aigi_1361bdabcca2d25d,eval,data/CompEval-00120-of-00413.parquet,1,5,000444.png,PNG,GALIP,galip,RAISE,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_1361bdabcca2d25d_000444.png.png
cf_test_external_seen_family_aigi_13e161a51347e4ba,eval,data/CompEval-00378-of-00413.parquet,1,9,000067.png,PNG,LCM_lora_sdxl,lcm-lora-sdxl,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_13e161a51347e4ba_000067.png.png
cf_test_external_seen_family_aigi_13f858b88db9ad8d,eval,data/CompEval-00006-of-00413.parquet,2,2,000448.png,PNG,DFGAN,dfgan,COCO,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_13f858b88db9ad8d_000448.png.png
cf_test_external_seen_family_aigi_1446bdb1d3f64d8e,eval,data/CompEval-00120-of-00413.parquet,0,11,000575.png,PNG,GALIP,galip,RAISE,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_1446bdb1d3f64d8e_000575.png.png
cf_test_external_seen_family_aigi_1459071095ffa7e2,eval,data/CompEval-00119-of-00413.parquet,3,4,000151.png,PNG,LCM_lora_sdxl,lcm-lora-sdxl,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_1459071095ffa7e2_000151.png.png
cf_test_external_seen_family_aigi_145d8dee01d3ebcf,eval,data/CompEval-00124-of-00413.parquet,1,21,000653.png,PNG,GALIP,galip,RAISE,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_145d8dee01d3ebcf_000653.png.png
cf_test_external_seen_family_aigi_1466d4863d8f80de,eval,data/CompEval-00316-of-00413.parquet,1,10,000756.png,PNG,DeciDiffusionV2,decidiffusionv2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_1466d4863d8f80de_000756.png.png
cf_test_external_seen_family_aigi_152056ba74b6b362,eval,data/CompEval-00062-of-00413.parquet,3,16,000074.png,PNG,LCM_lora_sdxl,lcm-lora-sdxl,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_152056ba74b6b362_000074.png.png
cf_test_external_seen_family_aigi_15a25f7ba642caa1,eval,data/CompEval-00314-of-00413.parquet,4,11,000319.png,PNG,DeciDiffusionV2,decidiffusionv2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_15a25f7ba642caa1_000319.png.png
cf_test_external_seen_family_aigi_15aab6be42249e8b,eval,data/CompEval-00246-of-00413.parquet,0,4,000038.png,PNG,kandinsky_2_2,kandinsky-2-2,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_15aab6be42249e8b_000038.png.png
cf_test_external_seen_family_aigi_16079d4555705765,eval,data/CompEval-00124-of-00413.parquet,0,23,000248.png,PNG,GALIP,galip,RAISE,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_16079d4555705765_000248.png.png
cf_test_external_seen_family_aigi_162330e375406412,eval,data/CompEval-00196-of-00413.parquet,4,12,000119.png,PNG,LCM_lora_ssd1b,lcm-lora-ssd1b,RAISE,test,test_external_seen_family,1,LatDiff,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_162330e375406412_000119.png.png
cf_test_external_seen_family_aigi_16594473a8c24c1f,eval,data/CompEval-00046-of-00413.parquet,1,17,000531.png,PNG,GALIP,galip,RAISE,test,test_external_seen_family,1,GAN,family_seen,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_16594473a8c24c1f_000531.png.png
